"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","142.02","145.08","145.08","141.78","50.02K","-1.89%"
"Dec 27, 2019","144.76","145.20","145.49","143.75","29.04K","-0.20%"
"Dec 26, 2019","145.05","144.93","145.35","144.22","25.27K","0.45%"
"Dec 24, 2019","144.40","143.99","144.60","143.80","32.22K","0.05%"
"Dec 23, 2019","144.33","145.55","145.55","144.06","57.12K","-0.60%"
"Dec 20, 2019","145.20","146.00","146.31","144.84","115.08K","-0.51%"
"Dec 19, 2019","145.95","145.93","146.31","144.63","46.54K","0.09%"
"Dec 18, 2019","145.82","147.62","147.62","145.67","33.83K","-1.04%"
"Dec 17, 2019","147.35","146.78","147.70","146.27","33.52K","0.56%"
"Dec 16, 2019","146.53","145.75","147.51","145.75","44.23K","0.81%"
"Dec 13, 2019","145.35","146.65","147.38","145.02","52.34K","-1.02%"
"Dec 12, 2019","146.85","149.97","150.89","146.45","43.71K","-2.41%"
"Dec 11, 2019","150.47","152.49","152.49","149.89","28.08K","-1.46%"
"Dec 10, 2019","152.70","152.19","152.84","151.30","43.73K","0.26%"
"Dec 09, 2019","152.30","151.26","152.87","151.23","66.72K","0.46%"
"Dec 06, 2019","151.60","150.79","152.20","150.56","69.27K","1.16%"
"Dec 05, 2019","149.86","151.31","151.56","149.13","87.64K","-1.15%"
"Dec 04, 2019","151.60","150.67","152.26","150.31","85.73K","1.08%"
"Dec 03, 2019","149.98","149.02","151.11","147.28","221.54K","-0.07%"
"Dec 02, 2019","150.08","150.72","150.72","148.42","87.73K","-0.17%"
"Nov 29, 2019","150.33","150.99","151.34","149.00","51.30K","-1.50%"
"Nov 27, 2019","152.62","152.00","153.30","151.74","36.66K","0.14%"
"Nov 26, 2019","152.40","152.29","153.35","151.68","84.00K","-0.24%"
"Nov 25, 2019","152.76","152.00","153.05","151.40","53.05K","0.77%"
"Nov 22, 2019","151.60","150.20","152.29","148.70","50.48K","1.40%"
"Nov 21, 2019","149.50","154.54","154.54","148.97","79.61K","-2.93%"
"Nov 20, 2019","154.02","157.00","157.46","153.12","79.78K","-2.20%"
"Nov 19, 2019","157.49","155.62","158.90","155.53","52.51K","1.46%"
"Nov 18, 2019","155.23","156.11","157.29","155.12","54.06K","-0.75%"
"Nov 15, 2019","156.40","157.12","157.51","155.00","44.49K","-0.15%"
"Nov 14, 2019","156.64","157.24","158.13","155.98","65.93K","-0.20%"
"Nov 13, 2019","156.96","157.29","158.50","156.00","64.29K","-0.70%"
"Nov 12, 2019","158.06","156.15","158.07","155.88","71.93K","1.37%"
"Nov 11, 2019","155.92","155.57","156.22","154.82","59.22K","-0.13%"
"Nov 08, 2019","156.13","155.34","157.07","154.13","65.36K","0.22%"
"Nov 07, 2019","155.78","155.80","156.81","154.43","63.42K","0.53%"
"Nov 06, 2019","154.96","154.67","155.69","153.11","72.90K","-0.03%"
"Nov 05, 2019","155.00","154.21","156.09","153.27","67.22K","0.97%"
"Nov 04, 2019","153.51","154.99","155.14","152.26","69.96K","-0.12%"
"Nov 01, 2019","153.69","153.57","154.85","151.25","70.16K","0.29%"
"Oct 31, 2019","153.25","153.28","154.50","151.85","54.83K","-0.10%"
"Oct 30, 2019","153.41","150.96","154.40","149.00","81.85K","4.61%"
"Oct 29, 2019","146.65","146.00","147.47","145.25","42.82K","0.33%"
